,Qty,Value,Device,Package,Parts,Description
,1,EURORACK-POWER,EURORACK-POWER,EURORACK-POWER,U$3,
,1,I/O,MONO_JACK,MONO_JACK,SQUARE,
,1,180k,R-US_R0603,R0603,R8,"RESISTOR, American symbol"
,1,1.8k,R-US_R0603,R0603,R7,"RESISTOR, American symbol"
,5,100k,R-US_R0603,R0603,"R6, R9, R10, R13, R15","RESISTOR, American symbol"
,1,120k,R-US_R0603,R0603,R5,"RESISTOR, American symbol"
,1,27k,R-US_R0603,R0603,R4,"RESISTOR, American symbol"
,1,33k,R-US_R0603,R0603,R22,"RESISTOR, American symbol"
,1,3.3k,R-US_R0603,R0603,R20,"RESISTOR, American symbol"
,1,4.7k,R-US_R0603,R0603,R19,"RESISTOR, American symbol"
,3,2.2k,R-US_R0603,R0603,"R16, R17, R18","RESISTOR, American symbol"
,1,68k,R-US_R0603,R0603,R14,"RESISTOR, American symbol"
,2,4.7,R-US_R0603,R0603,"R11, R12","RESISTOR, American symbol"
,4,47k,R-US_R0603,R0603,"R1, R2, R3, R21","RESISTOR, American symbol"
,1,2N7000,2N7000,2N7000,Q5,
,2,2N3904,2N3904,TO92,"Q3, Q4",NPN TRANSISTOR
,1,2N3906,2N3906,TO92,Q2,PNP Transistor
,1,BC847BS,BC847BS,SOT363_PHILIPS,Q1,NPN general purpose double transistor
,2,,LED_ELD260,LED_LD260,"LED1, LED2",LED
,1,,PINHD-2X5,2X05,JP2,PIN HEADER
,1,TL084D,TL084D,SO14,IC1,OP AMP
,1,100k lin,TRIM_US-B64Y,B64Y,FREQ,POTENTIOMETER
,1,CV,MONO_JACK,MONO_JACK,CV,
,1,10n,C-EUC0603,C0603,C6,"CAPACITOR, European symbol"
,2,100u,CPOL-USE2.5-7,"E2,5-7","C4, C7","POLARIZED CAPACITOR, American symbol"
,1,100p,C-EUC0603,C0603,C3,"CAPACITOR, European symbol"
,5,100n,C-EUC0603,C0603,"C1, C2, C5, C8, C9","CAPACITOR, European symbol"
