Reference, Value, Footprint, Datasheet
"U1","74HC595","Housings_DIP:DIP-16_W7.62mm",""
"U2","74LS595","Housings_DIP:DIP-16_W7.62mm",""
"U3","74LS595","Housings_DIP:DIP-16_W7.62mm",""
"U4","74LS595","Housings_DIP:DIP-16_W7.62mm",""
"J3","CONN_01X08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm",""
"J4","CONN_01X08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm",""
"J5","CONN_01X08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm",""
"J6","CONN_01X08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm",""
"J1","CONN_01X08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm",""
"J2","CONN_01X08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm",""
